priority_rank,name,slug,threadcount,palette,symmetric,thread_total,demand_score,category,sources_verifying,verified_by,colour_agreement,listed_house_of_tartan,listed_weddslist,primary_source,designer,tartan_date,stwr_ref,restriction_status,restrictions,origin_url
320,"Stewart of Rothesay Clan Tartan Tartan Number: 847. Earliest known date: 1829 See Vestiarium Scoticum entry. Named `Duke of Rothesay' in a drawing by Charles Sobieski (Allen) in the Dick Lauder transcript in the Royal Library in Windsor. See products available Copyright © Blair Urquhart, Comrie, 2015",stewart-of-rothesay-clan-tartan-tartan-number-847-earliest-known-date-1829-see-vestiarium-scoticum-entry-named-duke-of-rothesay-in-a-drawing-by-charles-sobieski-allen-in-the-dick-lauder-transcript-in-the-royal-library-in-windsor-see-products-available-copyright-blair-urquhart-comrie-2015,G/4 R52 B8 R4 K8 R4 G16 R8 K2 R2 W/4,K#101010 BLACK; B#2C2C80 BLUE; G#006818 GREEN; R#C80000 RED; W#E0E0E0 WHITE;,yes,216,60,Scottish Tartans Society,2,House of Tartan; Weddslist,2/2,yes,yes,House of Tartan,,,,none,,http://www.house-of-tartan.scotland.net/house/TartanViewjs.asp?colr=Def&tnam=847
321,Stuart-Houghton Hunting (Personal),stuart-houghton-hunting-personal,DB/22 N8 DB8 W4 DB8 N8 DB22 G52 N8 W6 N8 W4 N28 DG20 DB32 DG/12,W#F8F4D0 WHITE; N#808080 GREY; DB#141E46 DARK BLUE; DG#003C14 DARK GREEN; G#003C14 GREEN;,yes,466,60,Name,2,Scottish Register of Tartans; Scottish Tartans Authority,2/2,no,no,Scottish Register of Tartans,"Stuart-Houghton, Andrew",01/01/2001,,weaver_note,"Yes. Intended as a personal tartan which is not to be used, copied or reproduced in any way without the owner's written consent. Certificate of anteriority and intellectual property #DEP635279015264155000, with copyright.com.de",https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=11086
322,"Sutherland Old Clan Tartan Tartan Number: 930. Earliest known date: 1842 (1618) The earlier date refers to a letter from Gordon Earl of Sutherland instructing Murray of Dulrossie to 'remove the red and white lines from the plaids of the men so as to bring their dress into harmony with that of the other Septs.' This sett is also recorded by Smibert in 1850. Smiberts work lends greater authority to the accuracy of the tartan. Worn by the City of Nunawading Highland pipe band (Australia) (Strathallan 1994) See products available Copyright © Blair Urquhart, Comrie, 2015",sutherland-old-clan-tartan-tartan-number-930-earliest-known-date-1842-1618-the-earlier-date-refers-to-a-letter-from-gordon-earl-of-sutherland-instructing-murray-of-dulrossie-to-remove-the-red-and-white-lines-from-the-plaids-of-the-men-so-as-to-bring-their-dress-into-harmony-with-that-of-the-other-septs-this-sett-is-also-recorded-by-smibert-in-1850-smiberts-work-lends-greater-authority-to-the-accuracy-of-the-tartan-worn-by-the-city-of-nunawading-highland-pipe-band-australia-strathallan-1994-see-products-available-copyright-blair-urquhart-comrie-2015,G/12 W4 G48 K24 B6 K4 B4 K4 B24 R2 B2 R/6,K#101010 BLACK; B#2C2C80 BLUE; G#006818 GREEN; R#C80000 RED; W#E0E0E0 WHITE;,yes,262,60,Scottish Tartans Society,2,House of Tartan; Weddslist,2/2,yes,yes,House of Tartan,,,,none,,http://www.house-of-tartan.scotland.net/house/TartanViewjs.asp?colr=Def&tnam=930
323,Tait #1,tait-1,R/10 K4 B38 G8 K38 G56 K4 Y/10,B#2C2C80 BLUE; Y#E8C000 YELLOW; G#006818 GREEN; R#C80000 RED; K#101010 BLACK;,yes,316,60,Clan; Family,2,Scottish Register of Tartans; Scottish Tartans Authority,2/2,no,no,Scottish Register of Tartans,"Dalgliesh, D.C.",01/01/2003,,weaver_note,Yes. Prepared for weaving by D C Dalgliesh Ltd.,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=4063
324,"Thain Dress Tartan Tartan Number: 1256. Earliest known date: pre 2003 The colours of the Texas Bluebonnet district tartan owe their selection to the bluebonnet flower, a member of the lupin family, which is widespread in many parts of Texas. The flower changes colour with the passing of time, the 'brim' becoming flecked with wine red. The tartan was adopted as the Sequicentennial Tartan and Accredited by the Scottish Tartans Society. See products available Copyright © Blair Urquhart, Comrie, 2015",thain-dress-tartan-tartan-number-1256-earliest-known-date-pre-2003-the-colours-of-the-texas-bluebonnet-district-tartan-owe-their-selection-to-the-bluebonnet-flower-a-member-of-the-lupin-family-which-is-widespread-in-many-parts-of-texas-the-flower-changes-colour-with-the-passing-of-time-the-brim-becoming-flecked-with-wine-red-the-tartan-was-adopted-as-the-sequicentennial-tartan-and-accredited-by-the-scottish-tartans-society-see-products-available-copyright-blair-urquhart-comrie-2015,K/28 W2 K4 W4 K4 W2 K28 W2 K4 W4 Y4 W2 Y/44,K#101010 BLACK; W#E0E0E0 WHITE; Y#E8C000 YELLOW;,yes,192,60,Scottish Tartans Society,2,House of Tartan; Weddslist,2/2,yes,yes,House of Tartan,,,,none,,http://www.house-of-tartan.scotland.net/house/TartanViewjs.asp?colr=Def&tnam=1256
325,The Trew 40th,the-trew-40th,RR/8 RG6 K22 DN6 RB6 DN60 K2 W8 K2 DN6 K6 DN6 K6 DN24 RR/4,RR#A3120C ROTARY RED; RG#001910 ROTARY GREEN; K#101010 BLACK; DN#1C1C1E DARK GREY; W#F9F9D3 WHITE; RB#0B02D3 ROYAL BLUE;,yes,332,60,Name,2,Scottish Register of Tartans; Scottish Tartans Authority,1/2,no,no,Scottish Register of Tartans,Alasdair Macleod,01/05/2009,,weaver_note,Yes. Geoffrey (Tailor) Ltd have the sole right to weave the tartan,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=10033
326,Thomson (Personal),thomson-personal,A/6 K24 A24 LG12 T56 A/8,A#5C8CA8 AZURE; K#101010 BLACK; T#604000 BROWN; LG#289C18 LIGHT GREEN;,yes,246,60,Clan; Family,2,Scottish Register of Tartans; Scottish Tartans Authority,2/2,no,no,Scottish Register of Tartans,Bain/Bottomley,01/01/1965,231.0,weaver_note,Yes.,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=4120
327,Timmins (2013),timmins-2013,LG/8 DB4 B28 DB24 B64 Y2 DB24 P28 DB4 R/8,R#DC0000 RED; P#440044 PURPLE; DB#141E46 NAVY; Y#FCCC00 YELLOW; B#5C8CA8 BLUE; LG#408060 LIGHT GREEN;,yes,372,60,Name,2,Scottish Register of Tartans; Scottish Tartans Authority,1/2,no,no,Scottish Register of Tartans,"Timmins, P",09/11/2010,,weaver_note,"Yes. Please contact the designer to wear, use or weave this tartan.",https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=10911
328,Totté (from Hofstade de Baerebeeck) (Personal),tott-from-hofstade-de-baerebeeck-personal,K/102 R42 Y8 R24 G16 B8 R/10,K#101010 BLACK; R#FF0000 RED; Y#FFE600 LIGHT YELLOW; G#008B00 LIGHT GREEN; B#0000CD BLUE;,yes,308,60,Name,2,Scottish Register of Tartans; Scottish Tartans Authority,1/2,no,no,Scottish Register of Tartans,"Totté, Erik Robert",22/01/2013,,weaver_note,Yes. Only for the Totté family from Hofstade de Baerebeeck and their descendants.,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=10770
329,Tough (Personal),tough-personal,DR/4 K8 G64 K8 YT2 DN/8,DR#8C0000 DARK RED; K#000000 BLACK; G#004C00 DARK GRN; YT#DCBC00 YELLOW; DN#646464 MEDIUM GREY;,yes,176,60,Name,2,Scottish Register of Tartans; Scottish Tartans Authority,2/2,no,no,Scottish Register of Tartans,"MacDonald, Peter",01/01/1998,2582.0,weaver_note,Yes.,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=4142
330,"Turnbull Dress Clan Tartan Tartan Number: 1035. Earliest known date: 1979 An unusual dress tartan having no white. See products available Copyright © Blair Urquhart, Comrie, 2015",turnbull-dress-clan-tartan-tartan-number-1035-earliest-known-date-1979-an-unusual-dress-tartan-having-no-white-see-products-available-copyright-blair-urquhart-comrie-2015,K/14 B6 G56 R56 Y/6,K#101010 BLACK; B#2C2C80 BLUE; G#006818 GREEN; R#C80000 RED; Y#E8C000 YELLOW;,yes,256,60,Scottish Tartans Society,2,House of Tartan; Weddslist,2/2,yes,yes,House of Tartan,,,,none,,http://www.house-of-tartan.scotland.net/house/TartanViewjs.asp?colr=Def&tnam=1035
331,"Unnamed No 14 Tartan Tartan Number: 1326. Earliest known date: 1870 This sett is taken from the records of Messrs Bolingbroke and Jones of Norwich, who were weavers around 1870. Some of the tartans have been adopted or modified in recent times as the copyright of the designs is now in the public domain. See products available Copyright © Blair Urquhart, Comrie, 2015",unnamed-no-14-tartan-tartan-number-1326-earliest-known-date-1870-this-sett-is-taken-from-the-records-of-messrs-bolingbroke-and-jones-of-norwich-who-were-weavers-around-1870-some-of-the-tartans-have-been-adopted-or-modified-in-recent-times-as-the-copyright-of-the-designs-is-now-in-the-public-domain-see-products-available-copyright-blair-urquhart-comrie-2015,R/22 A6 B10 Y4 R4 W4 G22 B8 Y/3,A#5C8CA8 AZURE; B#2C2C80 BLUE; G#006818 GREEN; R#C80000 RED; W#E0E0E0 WHITE; Y#E8C000 YELLOW;,yes,141,60,Scottish Tartans Society,2,House of Tartan; Weddslist,2/2,yes,yes,House of Tartan,,,,none,,http://www.house-of-tartan.scotland.net/house/TartanViewjs.asp?colr=Def&tnam=1326
332,"Unnamed No 5 Tartan Tartan Number: 1257. Earliest known date: 1870 This sett is taken from the records of Messrs Bolingbroke and Jones of Norwich, who were weavers around 1870. Some of the tartans have been adopted or modified in recent times as the copyright of the designs is now in the public domain. See products available Copyright © Blair Urquhart, Comrie, 2015",unnamed-no-5-tartan-tartan-number-1257-earliest-known-date-1870-this-sett-is-taken-from-the-records-of-messrs-bolingbroke-and-jones-of-norwich-who-were-weavers-around-1870-some-of-the-tartans-have-been-adopted-or-modified-in-recent-times-as-the-copyright-of-the-designs-is-now-in-the-public-domain-see-products-available-copyright-blair-urquhart-comrie-2015,K/20 Y4 G22 R22 W2 R2 W2 K/18,K#101010 BLACK; G#006818 GREEN; R#C80000 RED; W#E0E0E0 WHITE; Y#E8C000 YELLOW;,yes,146,60,Scottish Tartans Society,2,House of Tartan; Weddslist,2/2,yes,yes,House of Tartan,,,,none,,http://www.house-of-tartan.scotland.net/house/TartanViewjs.asp?colr=Def&tnam=1257
333,"Unnamed No 57 Tartan Tartan Number: 1317. Earliest known date: 1870 This sett is taken from the records of Messrs Bolingbroke and Jones of Norwich, who were weavers around 1870. Some of the tartans have been adopted or modified in recent times as the copyright of the designs is now in the public domain. See products available Copyright © Blair Urquhart, Comrie, 2015",unnamed-no-57-tartan-tartan-number-1317-earliest-known-date-1870-this-sett-is-taken-from-the-records-of-messrs-bolingbroke-and-jones-of-norwich-who-were-weavers-around-1870-some-of-the-tartans-have-been-adopted-or-modified-in-recent-times-as-the-copyright-of-the-designs-is-now-in-the-public-domain-see-products-available-copyright-blair-urquhart-comrie-2015,R/8 A8 B16 Y2 G24 R12 B4 R12 W2 R/12,A#5C8CA8 AZURE; B#2C2C80 BLUE; G#006818 GREEN; R#C80000 RED; W#E0E0E0 WHITE; Y#E8C000 YELLOW;,yes,180,60,Scottish Tartans Society,2,House of Tartan; Weddslist,2/2,yes,yes,House of Tartan,,,,none,,http://www.house-of-tartan.scotland.net/house/TartanViewjs.asp?colr=Def&tnam=1317
334,"Urquhart White Line Clan Tartan Tartan Number: 623. Earliest known date: 1842 Sample in Paton's collection. The Setts No: 249. Innes No 110. W & A K Johnston, 1906 It is interesting to note that much of the forged sixteenth century manuscript on which the Vestiarium Scoticum was based was supposedly transcribed by Sir Richard Urquhart in 1721. See products available Copyright © Blair Urquhart, Comrie, 2015",urquhart-white-line-clan-tartan-tartan-number-623-earliest-known-date-1842-sample-in-paton-s-collection-the-setts-no-249-innes-no-110-w-a-k-johnston-1906-it-is-interesting-to-note-that-much-of-the-forged-sixteenth-century-manuscript-on-which-the-vestiarium-scoticum-was-based-was-supposedly-transcribed-by-sir-richard-urquhart-in-1721-see-products-available-copyright-blair-urquhart-comrie-2015,B/4 W2 B24 K3 B3 K3 B8 K24 G48 K3 G3 R/2,K#101010 BLACK; B#2C2C80 BLUE; G#006818 GREEN; R#C80000 RED; W#E0E0E0 WHITE;,yes,248,60,Scottish Tartans Society,2,House of Tartan; Weddslist,2/2,yes,yes,House of Tartan,,,,none,,http://www.house-of-tartan.scotland.net/house/TartanViewjs.asp?colr=Def&tnam=623
335,Varrie,varrie,LB/220 B20 W20 Y/20,LB#2888C4 LIGHT BLUE; B#2C2C80 BLUE; W#E0E0E0 WHITE; Y#E8C000 YELLOW;,yes,320,60,Name,2,Scottish Register of Tartans; Scottish Tartans Authority,2/2,no,no,Scottish Register of Tartans,"Bush-Futcher, Noelleen",20/11/2009,,weaver_note,Yes. Designed for weaving by House of Tartan.,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=10113
336,"Walker, Evening (Personal)",walker-evening-personal,GO/8 VDB4 DR14 VDB30 DR6 VDB6 DR6 VDB14 DR56 G14 DR12 G/4,MY#C89800 DARKER YELLOW; RB#00008C BALMORAL; DR#8C0000 DARK RED; DR#8C0000 DARK RED; G#004C00 DARK GRN; G#004C00 DARK GRN; GO#9C7400 DARK GOLD; VDB#00002C MIDNIGHT;,yes,336,60,Clan; Family,2,Scottish Register of Tartans; Scottish Tartans Authority,2/2,no,no,Scottish Register of Tartans,"Hawks, Robert Walker",01/01/1993,2068.0,weaver_note,Yes.,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=4480
337,"Walker, Gauvin (Personal)",walker-gauvin-personal,LO/2 B6 MB4 G10 DP8 G2 MB28 B2 MB8 G50 B4 LO/2,LO#CFA543 LIGHT ORANGE; B#5E6D66 BLUE; G#30644D GREEN; MB#1C1C1C MIDNIGHT BLUE; DP#540A59 DARK PURPLE;,yes,248,60,Name,2,Scottish Register of Tartans; Scottish Tartans Authority,1/2,no,no,Scottish Register of Tartans,"Walker, Gauvin",10/10/2010,,weaver_note,Yes. Please contact the designer before using this design for any commercial purpose.,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=10304
338,Wallace Blue (Fashion),wallace-blue-fashion,A/4 B58 A24 G58 WW/4,A#5C8CA8; WW#F8F8F8; B#2C2C80; G#006818;,yes,288,60,Jim McBeath & Joseph Shelby,2,Scottish Tartans Authority; House of Tartan,2/2,yes,yes,Scottish Tartans Authority,,,,none,,http://www.tartansauthority.com/tartan-ferret/display/46/
339,"Wallace Hunting Clan Tartan Tartan Number: 1101. Earliest known date: pre 2003 The design comes from the Vestiarium Scoticum (1842). The authors, the Sobieski Stuart brothers, enjoyed a popular following among the Scottish gentry in the early Victorian era, and in the spirit of the times, added mystery, romance and some spurious historical documentation to the subject of tartan. Of the better known tartans, the book offers some minor variation, but in other cases it provides the only recorded version of many tartans in use today. See products available Copyright © Blair Urquhart, Comrie, 2015",wallace-hunting-clan-tartan-tartan-number-1101-earliest-known-date-pre-2003-the-design-comes-from-the-vestiarium-scoticum-1842-the-authors-the-sobieski-stuart-brothers-enjoyed-a-popular-following-among-the-scottish-gentry-in-the-early-victorian-era-and-in-the-spirit-of-the-times-added-mystery-romance-and-some-spurious-historical-documentation-to-the-subject-of-tartan-of-the-better-known-tartans-the-book-offers-some-minor-variation-but-in-other-cases-it-provides-the-only-recorded-version-of-many-tartans-in-use-today-see-products-available-copyright-blair-urquhart-comrie-2015,K/8 G66 K66 Y/8,K#101010 BLACK; G#006818 GREEN; Y#E8C000 YELLOW;,yes,280,60,Scottish Tartans Society,2,House of Tartan; Weddslist,2/2,yes,yes,House of Tartan,,,,none,,http://www.house-of-tartan.scotland.net/house/TartanViewjs.asp?colr=Def&tnam=1101
340,"Walls, Steve C (Personal)",walls-steve-c-personal,K/6 Y4 K4 Y28 DY6 K12 DR16 R28 W4 R/6,Y#FFFF00 YELLOW; W#F8F8F8 WHITE; R#C8002C RED; DY#E0A126 DARK YELLOW; K#000000 BLACK; DR#880000 DARK RED;,yes,216,60,Name,2,Scottish Register of Tartans; Scottish Tartans Authority,1/2,no,no,Scottish Register of Tartans,Scotweb,25/03/2014,,weaver_note,"Yes. For permission to use this tartan, please contact Jo Walls, jo@scotcheer.net.",https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=11161
341,Walsh,walsh,Y/2 K2 LG2 DG32 R2 DG32 K2 LP4 K4 DG2 LG24 W/2,Y#E8C000 YELLOW; K#101010 BLACK; LG#2D833D LIGHT GREEN; DG#04411C DARK GREEN; R#C80000 RED; LP#8C6EB5 MAUVE; W#E0E0E0 WHITE;,yes,216,60,Clan; Family,2,Scottish Register of Tartans; Scottish Tartans Authority,1/2,no,no,Scottish Register of Tartans,"Walsh, Christopher",04/06/2003,2783.0,weaver_note,"Yes. Only to be worn by those with the Walsh surname.Permission to weave must be obtained from the designer.Permission to reproduce the pattern in any form must be obtained from the designer.This design, registration number: 4008599, was registered with the UKIPO on 9 August 2008.",https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=4487
342,Waugh,waugh,DB/100 LB10 K5 LB10 R/8,K#000000 BLACK; DB#000080 DULL BLUE; LB#65909A LIGHT BLUE; R#B22222 RED;,yes,158,60,Name,2,Scottish Register of Tartans; Scottish Tartans Authority,1/2,no,no,Scottish Register of Tartans,Olga Waugh,08/05/2009,,weaver_note,"Yes. This tartan should be used/worn by those with the Waugh name, either by birth, marriage, extended family or association (Pipe Band, Cultural Society, etc).Exact thread count and colour palette should be used.",https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=10028
343,Weiss-Halliwell (Personal),weiss-halliwell-personal,P12 K2 N2 K4 N2 K2 P12 K2 N44 K6 N2 K6 N20 K2 P6 N2 K12 N2 DG6 K2 N20 K6 N2 K6 N44 K2 DG12 K2 N2 K4 N2 K2 DG12 K2 N24 K2,K#101010 BLACK; N#646464 GREY; P#000048 PURPLE; DG#003820 DARK GREEN;,no,292,60,Name,2,Scottish Register of Tartans; Scottish Tartans Authority,1/2,no,no,Scottish Register of Tartans,"Ainsworth, Trudie",,,weaver_note,"Yes. Permission to wear/use this tartan must be sought from the Weiss-Halliwell family.Prepared for weaving by The House of Edgar, a division of Macnaughton Holdings Ltd.",https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=11055
344,"Williams, Edmund (Personal)",williams-edmund-personal,P/30 LP30 LG30 DG30 K16 W/10,P#1C0070 PURPLE; LP#780078 MAGENTA; LG#00643C LIGHT GREEN; DG#043828 DARK GREEN; K#101010 BLACK; W#FFFFFF WHITE;,yes,252,60,Name,2,Scottish Register of Tartans; Scottish Tartans Authority,1/2,no,no,Scottish Register of Tartans,"Williams, Edmund",27/06/2013,,weaver_note,"Yes. Anyone wishing to use this tartan should contact the designer at: edmund644@ntlworld.comPrepared for weaving by House of Tartan Ltd, Scotland",https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=10872
345,Woodcock (2014),woodcock-2014,B/60 P18 G12 P18 R8 B34 W/10,P#780078 PURPLE; G#005020 GREEN; R#FF0000 RED; B#141E46 BLUE; W#FCFCFC WHITE;,yes,250,60,Name,2,Scottish Register of Tartans; Scottish Tartans Authority,1/2,no,no,Scottish Register of Tartans,"Woodcock, Peter James",02/09/2014,,weaver_note,Yes. Please contact the designer if you wish to use this tartan.,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=11126
346,"York Puppet Tartan Tartan Number: 348. Earliest known date: York This sett comes from the MacGregor-Hastie collection which is housed at the Scottish Tartans Society. It was obtained from Andersons in 1947, one of several designs produced between 1930 and 1950 for Septs and Families of Scottish lineage. Wotherspoons are recorded in the Lowlands of Scotland from the beginning of the 14th century. The Rev. John Witherspoon (1722-94), born in Yester, East Lothian, was President of 'Princeton University' in 1768 and took an active part in the American Revolution. See products available Copyright © Blair Urquhart, Comrie, 2015",york-puppet-tartan-tartan-number-348-earliest-known-date-york-this-sett-comes-from-the-macgregor-hastie-collection-which-is-housed-at-the-scottish-tartans-society-it-was-obtained-from-andersons-in-1947-one-of-several-designs-produced-between-1930-and-1950-for-septs-and-families-of-scottish-lineage-wotherspoons-are-recorded-in-the-lowlands-of-scotland-from-the-beginning-of-the-14th-century-the-rev-john-witherspoon-1722-94-born-in-yester-east-lothian-was-president-of-princeton-university-in-1768-and-took-an-active-part-in-the-american-revolution-see-products-available-copyright-blair-urquhart-comrie-2015,P/22 K2 O8 R2 O2 R2 O6 W4 K4 Y4 K6 T4 W6 T6 B6 T4 W/4,K#101010 BLACK; B#2C2C80 BLUE; T#604000 BROWN; O#D87C00 ORANGE; P#780078 PURPLE; R#C80000 RED; W#E0E0E0 WHITE; Y#E8C000 YELLOW;,yes,158,60,Scottish Tartans Society,2,House of Tartan; Weddslist,1/2,yes,yes,House of Tartan,,,,none,,http://www.house-of-tartan.scotland.net/house/TartanViewjs.asp?colr=Def&tnam=348
347,Yusra (Malay) (Personal),yusra-malay-personal,R/4 NB48 Y4 NB20 W28 Y6 R/24,R#C80000 RED; NB#003C64 NAVY BLUE; Y#E8C000 YELLOW; W#E0E0E0 WHITE;,yes,240,60,Name,2,Scottish Register of Tartans; Scottish Tartans Authority,2/2,no,no,Scottish Register of Tartans,"Yusra, Fauzan",06/04/2011,,weaver_note,Yes. Developed for weaving by House of Tartan,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=10455
348,"degli Uberti, Baron of Cartsburn (Personal)",degli-uberti-baron-of-cartsburn-personal,DB/16 R2 K12 R2 DY16 R2 K90 DY/2,DY#BC933D DARK GOLD; K#101010 BLACK; R#BE3D3D RED; DB#000080 DARK BLUE;,yes,266,60,Name,2,Scottish Register of Tartans; Scottish Tartans Authority,1/2,no,no,Scottish Register of Tartans,"Wilton, Brian",03/04/2012,,weaver_note,"Yes. Only to be used by the Baron and Baroness of Cartsburn, their family, heirs and successors.Only those weavers authorised by the Baron of Cartsburn.",https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=10635
349,Drambuie,drambuie,W/6 DR36 K48 LT4 K5 DY/6,DY#E8C000 GOLD; LT#A08858 LIGHT BROWN; K#101010 BLACK; DR#880000 DARK RED; W#E0E0E0 WHITE;,yes,198,57,Corporate,3,Scottish Register of Tartans; Scottish Tartans Authority; Weddslist,1/3,no,yes,Scottish Register of Tartans,Kinloch Anderson Ltd,01/01/1998,2474.0,weaver_note,Yes. Corporate tartan of the Drambuie Liqueur Co Ltd.,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=972
350,Drambuie Dress,drambuie-dress,W/6 T36 K48 XR4 K5 DY/6,DY#E8C000 GOLD; XR#C80000 BASIC RED; K#101010 BLACK; T#604000 BROWN; W#E0E0E0 WHITE;,yes,198,57,Corporate,3,Scottish Register of Tartans; Scottish Tartans Authority; Weddslist,1/3,no,yes,Scottish Register of Tartans,Kinloch Anderson Ltd,01/07/1998,2485.0,weaver_note,Yes. Corporate tartan of the Drambuie Liqueur Co Ltd.,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=973
351,Forbo Nairn,forbo-nairn,A/8 G32 K28 B48 R/8,R#C80000 RED; B#2C2C80 BLUE; K#101010 BLACK; G#006818 GREEN; A#5C8CA8 AZURE;,yes,232,57,Corporate,3,Scottish Register of Tartans; Scottish Tartans Authority; Weddslist,1/3,no,yes,Scottish Register of Tartans,Kinloch Anderson Ltd,01/11/1995,2298.0,weaver_note,Yes. Corporate tartan for Forbo Nairn.,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=1226
352,Glen Flesk,glen-flesk,DG4 LN4 DG4 LN8 K8 LN8 K8 LN8 K8 LN8 LT4 LN4 LT4,K#101010 BLACK; DG#003820 DARK GREEN; LN#C0C0C0 LIGHT GREY; LT#A08858 LIGHT BROWN;,no,80,57,Fashion,3,Scottish Register of Tartans; Scottish Tartans Authority; Weddslist,1/3,no,yes,Scottish Register of Tartans,"Robson-Bell, Dawn",01/02/1997,2369.0,weaver_note,Yes.,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=1379
353,Glenmorangie Check,glenmorangie-check,U/10 LU20 R/10,U#482800 BROWN; LU#703200 BROWN; R#DC0000 RED;,yes,60,57,Corporate,3,Scottish Register of Tartans; Scottish Tartans Authority; Weddslist,2/3,no,yes,Scottish Register of Tartans,"Lindley, Harry of Kinloch Anderson Ltd",01/01/1988,1663.0,weaver_note,Yes. Corporate tartan for Glenmorangie.,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=1426
354,Longniddry Dress (Dance),longniddry-dress-dance,P/8 W64 LB24 P10 SB4 W4 SB4 P/84,DP#440044 DARK PURPLE; LB#2888C4 LIGHT BLUE; LN#C0C0C0 LIGHT GRAY; SB#A8ACE8 SKY BLUE; P#780078 PURPLE; LP#B468AC MAUVE; W#E0E0E0 WHITE;,yes,312,57,Fashion,3,Scottish Register of Tartans; Scottish Tartans Authority; Weddslist,1/3,no,yes,Scottish Register of Tartans,"Dalgliesh, D C",01/01/2002,,weaver_note,Yes. Prepared for weaving by D C Dalgliesh Ltd.,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=2207
355,Longniddry Green (Dance),longniddry-green-dance,G/8 WW64 AK24 G10 LG4 WW4 LG4 G/84,AK#1C1C1C ANC BLACK; G#006818 GREEN; WW#FCFCFC WILSON WHITE; LG#289C18 LIGHT GREEN;,yes,312,57,Fashion,3,Scottish Register of Tartans; Scottish Tartans Authority; Weddslist,3/3,no,yes,Scottish Register of Tartans,"Dalgliesh, D C",01/01/2002,764.0,weaver_note,Yes. Prepared for weaving by D C Dalgliesh Ltd.,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=2208
356,Scotch House 2000 Antique,scotch-house-2000-antique,B/44 R6 B4 R6 B4 K34 T36 G/8,K#101010 BLACK; B#2C2C80 BLUE; T#604000 BROWN; G#006818 GREEN; R#C80000 RED;,yes,232,57,Fashion,3,Scottish Register of Tartans; Scottish Tartans Authority; Weddslist,1/3,no,yes,Scottish Register of Tartans,Kinloch Anderson Ltd,01/01/1999,2636.0,weaver_note,Yes. Designed for The Scotch House.,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=3668
357,Scotch House 2000 Dress,scotch-house-2000-dress,G/44 W6 K4 Y6 K38 R36 RB/8,K#101010 BLACK; G#006818 GREEN; R#C80000 RED; RB#1C0070 ROYAL BLUE; W#E0E0E0 WHITE; Y#E8C000 YELLOW;,yes,232,57,Fashion,3,Scottish Register of Tartans; Scottish Tartans Authority; Weddslist,1/3,no,yes,Scottish Register of Tartans,Kinloch Anderson Ltd,01/01/1999,2635.0,weaver_note,Yes. Designed for The Scotch House.,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=3669
358,Scotch House 2000 Original,scotch-house-2000-original,DB/44 R6 DB4 R6 DB4 K34 G36 LT/8,K#101010 BLACK; DB#202060 DARK BLUE; G#006818 GREEN; LT#A08858 LIGHT BROWN; R#C80000 RED;,yes,232,57,Fashion,3,Scottish Register of Tartans; Scottish Tartans Authority; Weddslist,1/3,no,yes,Scottish Register of Tartans,Kinloch Anderson Ltd,01/01/1999,2634.0,weaver_note,Yes. Designed for The Scotch House.,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=3670
359,Scotsman,scotsman,G/42 K28 G18 B42 K6 B24 P/6,K#101010 BLACK; B#2C2C80 BLUE; G#006818 GREEN; P#780078 PURPLE;,yes,284,57,Corporate,3,Scottish Register of Tartans; Scottish Tartans Authority; Weddslist,1/3,no,yes,Scottish Register of Tartans,Kinloch Anderson Ltd,01/11/1999,2645.0,weaver_note,Yes. A corporate tartan for The Scotsman.,https://www.tartanregister.gov.uk/tartanDetails.aspx?ref=3687
